,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err,beta_one,beta_one_err
127,ESSZIMMERTISCHE,whiteLabel,Import,wh,0.418,0.012,0.414,0.035
128,ESSZIMMERTISCHE,whiteLabel,Import,dropship,0.407,0.012,0.425,0.03
129,ESSZIMMERTISCHE,whiteLabel,EE,mto,0.345,0.012,0.335,0.044
130,ESSZIMMERTISCHE,whiteLabel,EE,wh,0.352,0.012,0.347,0.035
131,ESSZIMMERTISCHE,whiteLabel,EE,dropship,0.341,0.012,0.358,0.03
132,ESSZIMMERTISCHE,whiteLabel,Domestic,mto,0.317,0.012,0.314,0.044
133,ESSZIMMERTISCHE,whiteLabel,Domestic,wh,0.324,0.012,0.326,0.035
134,ESSZIMMERTISCHE,whiteLabel,Domestic,dropship,0.313,0.012,0.336,0.03
135,LEUCHTEN,exclusive,Import,mto,0.399,0.012,0.324,0.088
136,LEUCHTEN,exclusive,Import,wh,0.406,0.012,0.426,0.031
137,LEUCHTEN,exclusive,Import,dropship,0.395,0.012,0.384,0.028
138,LEUCHTEN,exclusive,EE,mto,0.334,0.012,0.257,0.088
139,LEUCHTEN,exclusive,EE,wh,0.34,0.012,0.359,0.031
140,LEUCHTEN,exclusive,EE,dropship,0.329,0.012,0.317,0.028
141,LEUCHTEN,exclusive,Domestic,mto,0.306,0.012,0.235,0.088
142,LEUCHTEN,exclusive,Domestic,wh,0.313,0.012,0.337,0.031
143,LEUCHTEN,exclusive,Domestic,dropship,0.301,0.012,0.296,0.028
144,LEUCHTEN,other,Import,mto,0.384,0.012,0.307,0.088
145,LEUCHTEN,other,Import,wh,0.391,0.012,0.409,0.031
146,LEUCHTEN,other,Import,dropship,0.38,0.012,0.368,0.028
147,LEUCHTEN,other,EE,mto,0.318,0.012,0.24,0.088
148,LEUCHTEN,other,EE,wh,0.325,0.012,0.342,0.031
149,LEUCHTEN,other,EE,dropship,0.314,0.012,0.301,0.028
150,LEUCHTEN,other,Domestic,mto,0.291,0.012,0.219,0.088
151,LEUCHTEN,other,Domestic,wh,0.297,0.012,0.321,0.031
152,LEUCHTEN,other,Domestic,dropship,0.286,0.012,0.28,0.028
153,LEUCHTEN,thirdParty,Import,mto,0.372,0.012,0.293,0.088
154,LEUCHTEN,thirdParty,Import,wh,0.379,0.012,0.395,0.031
155,LEUCHTEN,thirdParty,Import,dropship,0.368,0.012,0.354,0.028
156,LEUCHTEN,thirdParty,EE,mto,0.306,0.012,0.226,0.088
157,LEUCHTEN,thirdParty,EE,wh,0.313,0.012,0.328,0.031
158,LEUCHTEN,thirdParty,EE,dropship,0.302,0.012,0.287,0.028
159,LEUCHTEN,thirdParty,Domestic,mto,0.278,0.012,0.204,0.088
160,LEUCHTEN,thirdParty,Domestic,wh,0.285,0.012,0.306,0.031
161,LEUCHTEN,thirdParty,Domestic,dropship,0.274,0.012,0.265,0.028
162,LEUCHTEN,ownDeveloped,Import,mto,0.4,0.012,0.324,0.088
163,LEUCHTEN,ownDeveloped,Import,wh,0.407,0.012,0.426,0.031
164,LEUCHTEN,ownDeveloped,Import,dropship,0.396,0.012,0.385,0.028
165,LEUCHTEN,ownDeveloped,EE,mto,0.334,0.012,0.257,0.088
166,LEUCHTEN,ownDeveloped,EE,wh,0.341,0.012,0.359,0.031
167,LEUCHTEN,ownDeveloped,EE,dropship,0.33,0.012,0.318,0.028
168,LEUCHTEN,ownDeveloped,Domestic,mto,0.306,0.012,0.235,0.088
169,LEUCHTEN,ownDeveloped,Domestic,wh,0.313,0.012,0.337,0.031
170,LEUCHTEN,ownDeveloped,Domestic,dropship,0.302,0.012,0.296,0.028
171,LEUCHTEN,whiteLabel,Import,mto,0.378,0.012,0.299,0.088
172,LEUCHTEN,whiteLabel,Import,wh,0.385,0.012,0.401,0.031
173,LEUCHTEN,whiteLabel,Import,dropship,0.374,0.012,0.36,0.028
174,LEUCHTEN,whiteLabel,EE,mto,0.312,0.012,0.232,0.088
175,LEUCHTEN,whiteLabel,EE,wh,0.319,0.012,0.334,0.031
176,LEUCHTEN,whiteLabel,EE,dropship,0.308,0.012,0.293,0.028
177,LEUCHTEN,whiteLabel,Domestic,mto,0.284,0.012,0.211,0.088
178,LEUCHTEN,whiteLabel,Domestic,wh,0.291,0.012,0.313,0.031
179,LEUCHTEN,whiteLabel,Domestic,dropship,0.28,0.012,0.272,0.028
180,POLSTER,exclusive,Import,mto,0.4,0.012,0.42,0.048
181,POLSTER,exclusive,Import,wh,0.407,0.012,0.401,0.04
182,POLSTER,exclusive,Import,dropship,0.396,0.012,0.412,0.033
183,POLSTER,exclusive,EE,mto,0.334,0.012,0.353,0.048
184,POLSTER,exclusive,EE,wh,0.341,0.012,0.334,0.04
185,POLSTER,exclusive,EE,dropship,0.33,0.012,0.345,0.033
186,POLSTER,exclusive,Domestic,mto,0.306,0.012,0.332,0.048
187,POLSTER,exclusive,Domestic,wh,0.313,0.012,0.312,0.04
188,POLSTER,exclusive,Domestic,dropship,0.302,0.012,0.324,0.033
189,POLSTER,other,Import,mto,0.385,0.012,0.404,0.048
190,POLSTER,other,Import,wh,0.392,0.012,0.384,0.04
191,POLSTER,other,Import,dropship,0.381,0.012,0.396,0.033
192,POLSTER,other,EE,mto,0.319,0.012,0.337,0.048
193,POLSTER,other,EE,wh,0.326,0.012,0.317,0.04
194,POLSTER,other,EE,dropship,0.315,0.012,0.329,0.033
195,POLSTER,other,Domestic,mto,0.291,0.012,0.316,0.048
196,POLSTER,other,Domestic,wh,0.298,0.012,0.296,0.04
197,POLSTER,other,Domestic,dropship,0.287,0.012,0.307,0.033
198,POLSTER,thirdParty,Import,mto,0.373,0.012,0.389,0.048
199,POLSTER,thirdParty,Import,wh,0.379,0.012,0.37,0.04
200,POLSTER,thirdParty,Import,dropship,0.368,0.012,0.381,0.033
201,POLSTER,thirdParty,EE,mto,0.307,0.012,0.323,0.048
202,POLSTER,thirdParty,EE,wh,0.313,0.012,0.303,0.04
203,POLSTER,thirdParty,EE,dropship,0.302,0.012,0.314,0.033
204,POLSTER,thirdParty,Domestic,mto,0.279,0.012,0.301,0.048
205,POLSTER,thirdParty,Domestic,wh,0.286,0.012,0.281,0.04
206,POLSTER,thirdParty,Domestic,dropship,0.274,0.012,0.293,0.033
207,POLSTER,ownDeveloped,Import,mto,0.401,0.012,0.421,0.048
208,POLSTER,ownDeveloped,Import,wh,0.408,0.012,0.401,0.04
209,POLSTER,ownDeveloped,Import,dropship,0.396,0.012,0.412,0.033
210,POLSTER,ownDeveloped,EE,mto,0.335,0.012,0.354,0.048
211,POLSTER,ownDeveloped,EE,wh,0.342,0.012,0.334,0.04
212,POLSTER,ownDeveloped,EE,dropship,0.33,0.012,0.345,0.033
213,POLSTER,ownDeveloped,Domestic,mto,0.307,0.012,0.332,0.048
214,POLSTER,ownDeveloped,Domestic,wh,0.314,0.012,0.312,0.04
