,item_main_category,exclusivity_clean,sourcing_location,wh_flag_new,beta,beta_err
178,LEUCHTEN,whiteLabel,Domestic,wh,0.291,0.012
179,LEUCHTEN,whiteLabel,Domestic,dropship,0.28,0.012
180,POLSTER,exclusive,Import,mto,0.4,0.012
181,POLSTER,exclusive,Import,wh,0.407,0.012
182,POLSTER,exclusive,Import,dropship,0.396,0.012
183,POLSTER,exclusive,EE,mto,0.334,0.012
184,POLSTER,exclusive,EE,wh,0.341,0.012
185,POLSTER,exclusive,EE,dropship,0.33,0.012
186,POLSTER,exclusive,Domestic,mto,0.306,0.012
187,POLSTER,exclusive,Domestic,wh,0.313,0.012
188,POLSTER,exclusive,Domestic,dropship,0.302,0.012
189,POLSTER,other,Import,mto,0.385,0.012
190,POLSTER,other,Import,wh,0.392,0.012
191,POLSTER,other,Import,dropship,0.381,0.012
192,POLSTER,other,EE,mto,0.319,0.012
193,POLSTER,other,EE,wh,0.326,0.012
194,POLSTER,other,EE,dropship,0.315,0.012
195,POLSTER,other,Domestic,mto,0.291,0.012
196,POLSTER,other,Domestic,wh,0.298,0.012
197,POLSTER,other,Domestic,dropship,0.287,0.012
198,POLSTER,thirdParty,Import,mto,0.373,0.012
199,POLSTER,thirdParty,Import,wh,0.379,0.012
200,POLSTER,thirdParty,Import,dropship,0.368,0.012
201,POLSTER,thirdParty,EE,mto,0.307,0.012
202,POLSTER,thirdParty,EE,wh,0.313,0.012
203,POLSTER,thirdParty,EE,dropship,0.302,0.012
204,POLSTER,thirdParty,Domestic,mto,0.279,0.012
205,POLSTER,thirdParty,Domestic,wh,0.286,0.012
206,POLSTER,thirdParty,Domestic,dropship,0.274,0.012
207,POLSTER,ownDeveloped,Import,mto,0.401,0.012
208,POLSTER,ownDeveloped,Import,wh,0.408,0.012
209,POLSTER,ownDeveloped,Import,dropship,0.396,0.012
210,POLSTER,ownDeveloped,EE,mto,0.335,0.012
211,POLSTER,ownDeveloped,EE,wh,0.342,0.012
