,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err
154,BÜRO,exclusive,Domestic,0,0.389,0.012
155,BÜRO,exclusive,Domestic,1,0.353,0.012
156,BÜRO,other,Import,0,0.499,0.015
157,BÜRO,other,Import,1,0.464,0.015
158,BÜRO,other,EE,0,0.358,0.014
159,BÜRO,other,EE,1,0.322,0.013
160,BÜRO,other,Domestic,0,0.319,0.013
161,BÜRO,other,Domestic,1,0.284,0.013
162,BÜRO,thirdParty,Import,0,0.488,0.015
163,BÜRO,thirdParty,Import,1,0.453,0.015
164,BÜRO,thirdParty,EE,0,0.347,0.013
165,BÜRO,thirdParty,EE,1,0.312,0.013
166,BÜRO,thirdParty,Domestic,0,0.308,0.013
167,BÜRO,thirdParty,Domestic,1,0.273,0.013
168,BÜRO,ownDeveloped,Import,0,0.561,0.015
169,BÜRO,ownDeveloped,Import,1,0.525,0.015
170,BÜRO,ownDeveloped,EE,0,0.419,0.014
171,BÜRO,ownDeveloped,EE,1,0.384,0.014
172,BÜRO,ownDeveloped,Domestic,0,0.38,0.013
173,BÜRO,ownDeveloped,Domestic,1,0.345,0.013
174,BÜRO,whiteLabel,Import,0,0.5,0.015
175,BÜRO,whiteLabel,Import,1,0.465,0.015
176,BÜRO,whiteLabel,EE,0,0.359,0.013
177,BÜRO,whiteLabel,EE,1,0.323,0.013
178,BÜRO,whiteLabel,Domestic,0,0.32,0.013
179,BÜRO,whiteLabel,Domestic,1,0.285,0.012
180,KINDER,exclusive,Import,0,0.442,0.015
181,KINDER,exclusive,Import,1,0.407,0.015
182,KINDER,exclusive,EE,0,0.301,0.014
183,KINDER,exclusive,EE,1,0.266,0.014
184,KINDER,exclusive,Domestic,0,0.262,0.013
185,KINDER,exclusive,Domestic,1,0.227,0.013
186,KINDER,other,Import,0,0.373,0.016
187,KINDER,other,Import,1,0.337,0.016
188,KINDER,other,EE,0,0.231,0.015
189,KINDER,other,EE,1,0.196,0.014
190,KINDER,other,Domestic,0,0.192,0.014
191,KINDER,other,Domestic,1,0.157,0.014
192,KINDER,thirdParty,Import,0,0.362,0.016
193,KINDER,thirdParty,Import,1,0.327,0.015
194,KINDER,thirdParty,EE,0,0.221,0.014
195,KINDER,thirdParty,EE,1,0.185,0.014
196,KINDER,thirdParty,Domestic,0,0.182,0.014
197,KINDER,thirdParty,Domestic,1,0.146,0.014
198,KINDER,ownDeveloped,Import,0,0.434,0.016
199,KINDER,ownDeveloped,Import,1,0.399,0.016
200,KINDER,ownDeveloped,EE,0,0.293,0.015
201,KINDER,ownDeveloped,EE,1,0.257,0.015
202,KINDER,ownDeveloped,Domestic,0,0.254,0.014
203,KINDER,ownDeveloped,Domestic,1,0.219,0.014
204,KINDER,whiteLabel,Import,0,0.374,0.016
205,KINDER,whiteLabel,Import,1,0.339,0.015
206,KINDER,whiteLabel,EE,0,0.232,0.014
207,KINDER,whiteLabel,EE,1,0.197,0.014
208,KINDER,whiteLabel,Domestic,0,0.194,0.014
209,KINDER,whiteLabel,Domestic,1,0.158,0.014
210,FLURMÖBEL,exclusive,Import,0,0.573,0.014
211,FLURMÖBEL,exclusive,Import,1,0.538,0.014
212,FLURMÖBEL,exclusive,EE,0,0.432,0.013
213,FLURMÖBEL,exclusive,EE,1,0.396,0.012
214,FLURMÖBEL,exclusive,Domestic,0,0.393,0.012
215,FLURMÖBEL,exclusive,Domestic,1,0.358,0.012
216,FLURMÖBEL,other,Import,0,0.504,0.015
217,FLURMÖBEL,other,Import,1,0.468,0.015
218,FLURMÖBEL,other,EE,0,0.362,0.014
219,FLURMÖBEL,other,EE,1,0.327,0.013
220,FLURMÖBEL,other,Domestic,0,0.323,0.013
221,FLURMÖBEL,other,Domestic,1,0.288,0.013
222,FLURMÖBEL,thirdParty,Import,0,0.493,0.015
223,FLURMÖBEL,thirdParty,Import,1,0.458,0.015
224,FLURMÖBEL,thirdParty,EE,0,0.351,0.013
225,FLURMÖBEL,thirdParty,EE,1,0.316,0.013
226,FLURMÖBEL,thirdParty,Domestic,0,0.313,0.013
227,FLURMÖBEL,thirdParty,Domestic,1,0.277,0.012
228,FLURMÖBEL,ownDeveloped,Import,0,0.565,0.015
229,FLURMÖBEL,ownDeveloped,Import,1,0.53,0.015
230,FLURMÖBEL,ownDeveloped,EE,0,0.423,0.014
231,FLURMÖBEL,ownDeveloped,EE,1,0.388,0.014
232,FLURMÖBEL,ownDeveloped,Domestic,0,0.385,0.013
233,FLURMÖBEL,ownDeveloped,Domestic,1,0.349,0.013
234,FLURMÖBEL,whiteLabel,Import,0,0.505,0.015
235,FLURMÖBEL,whiteLabel,Import,1,0.469,0.014
236,FLURMÖBEL,whiteLabel,EE,0,0.363,0.013
237,FLURMÖBEL,whiteLabel,EE,1,0.328,0.013
238,FLURMÖBEL,whiteLabel,Domestic,0,0.324,0.013
239,FLURMÖBEL,whiteLabel,Domestic,1,0.289,0.012
240,SCHLAFZIMMERMÖBEL,exclusive,Import,0,0.504,0.014
241,SCHLAFZIMMERMÖBEL,exclusive,Import,1,0.469,0.014
242,SCHLAFZIMMERMÖBEL,exclusive,EE,0,0.363,0.013
243,SCHLAFZIMMERMÖBEL,exclusive,EE,1,0.327,0.012
244,SCHLAFZIMMERMÖBEL,exclusive,Domestic,0,0.324,0.012
245,SCHLAFZIMMERMÖBEL,exclusive,Domestic,1,0.289,0.012
246,SCHLAFZIMMERMÖBEL,other,Import,0,0.434,0.015
247,SCHLAFZIMMERMÖBEL,other,Import,1,0.399,0.015
248,SCHLAFZIMMERMÖBEL,other,EE,0,0.293,0.014
