,item_main_category,exclusivity_clean,sourcing_location,wh_flag,beta,beta_err,beta_one,beta_one_err
121,POLSTER,exclusive,Import,1,0.487,0.014,0.4,0.025
122,POLSTER,exclusive,EE,0,0.38,0.013,0.353,0.021
123,POLSTER,exclusive,EE,1,0.345,0.012,0.333,0.025
124,POLSTER,exclusive,Domestic,0,0.342,0.012,0.331,0.02
125,POLSTER,exclusive,Domestic,1,0.306,0.012,0.311,0.025
126,POLSTER,other,Import,0,0.452,0.015,0.405,0.021
127,POLSTER,other,Import,1,0.417,0.015,0.385,0.025
128,POLSTER,other,EE,0,0.311,0.014,0.338,0.021
129,POLSTER,other,EE,1,0.275,0.013,0.318,0.025
130,POLSTER,other,Domestic,0,0.272,0.013,0.316,0.021
131,POLSTER,other,Domestic,1,0.237,0.013,0.296,0.025
132,POLSTER,thirdParty,Import,0,0.441,0.015,0.39,0.021
133,POLSTER,thirdParty,Import,1,0.406,0.014,0.37,0.025
134,POLSTER,thirdParty,EE,0,0.3,0.013,0.323,0.021
135,POLSTER,thirdParty,EE,1,0.265,0.013,0.303,0.025
136,POLSTER,thirdParty,Domestic,0,0.261,0.013,0.301,0.021
137,POLSTER,thirdParty,Domestic,1,0.226,0.012,0.281,0.025
138,POLSTER,ownDeveloped,Import,0,0.514,0.015,0.421,0.021
139,POLSTER,ownDeveloped,Import,1,0.478,0.015,0.401,0.025
140,POLSTER,ownDeveloped,EE,0,0.372,0.014,0.354,0.021
141,POLSTER,ownDeveloped,EE,1,0.337,0.014,0.334,0.025
142,POLSTER,ownDeveloped,Domestic,0,0.333,0.013,0.332,0.021
143,POLSTER,ownDeveloped,Domestic,1,0.298,0.013,0.312,0.025
144,POLSTER,whiteLabel,Import,0,0.453,0.015,0.396,0.021
145,POLSTER,whiteLabel,Import,1,0.418,0.014,0.376,0.025
146,POLSTER,whiteLabel,EE,0,0.312,0.013,0.329,0.021
147,POLSTER,whiteLabel,EE,1,0.276,0.013,0.309,0.025
148,POLSTER,whiteLabel,Domestic,0,0.273,0.013,0.307,0.021
149,POLSTER,whiteLabel,Domestic,1,0.238,0.012,0.287,0.025
150,BÜRO,exclusive,Import,0,0.569,0.014,0.449,0.021
151,BÜRO,exclusive,Import,1,0.534,0.014,0.446,0.026
152,BÜRO,exclusive,EE,0,0.427,0.013,0.382,0.021
153,BÜRO,exclusive,EE,1,0.392,0.012,0.38,0.026
154,BÜRO,exclusive,Domestic,0,0.389,0.012,0.36,0.021
155,BÜRO,exclusive,Domestic,1,0.353,0.012,0.358,0.026
156,BÜRO,other,Import,0,0.499,0.015,0.433,0.021
157,BÜRO,other,Import,1,0.464,0.015,0.431,0.026
158,BÜRO,other,EE,0,0.358,0.014,0.367,0.021
159,BÜRO,other,EE,1,0.322,0.013,0.364,0.026
160,BÜRO,other,Domestic,0,0.319,0.013,0.345,0.021
161,BÜRO,other,Domestic,1,0.284,0.013,0.342,0.026
162,BÜRO,thirdParty,Import,0,0.488,0.015,0.419,0.021
163,BÜRO,thirdParty,Import,1,0.453,0.015,0.416,0.026
164,BÜRO,thirdParty,EE,0,0.347,0.013,0.352,0.021
165,BÜRO,thirdParty,EE,1,0.312,0.013,0.349,0.026
166,BÜRO,thirdParty,Domestic,0,0.308,0.013,0.33,0.021
167,BÜRO,thirdParty,Domestic,1,0.273,0.013,0.327,0.026
168,BÜRO,ownDeveloped,Import,0,0.561,0.015,0.449,0.021
169,BÜRO,ownDeveloped,Import,1,0.525,0.015,0.447,0.026
170,BÜRO,ownDeveloped,EE,0,0.419,0.014,0.382,0.021
171,BÜRO,ownDeveloped,EE,1,0.384,0.014,0.38,0.026
172,BÜRO,ownDeveloped,Domestic,0,0.38,0.013,0.36,0.021
173,BÜRO,ownDeveloped,Domestic,1,0.345,0.013,0.358,0.026
174,BÜRO,whiteLabel,Import,0,0.5,0.015,0.425,0.021
175,BÜRO,whiteLabel,Import,1,0.465,0.015,0.422,0.026
176,BÜRO,whiteLabel,EE,0,0.359,0.013,0.358,0.021
177,BÜRO,whiteLabel,EE,1,0.323,0.013,0.356,0.026
178,BÜRO,whiteLabel,Domestic,0,0.32,0.013,0.336,0.021
179,BÜRO,whiteLabel,Domestic,1,0.285,0.012,0.334,0.026
180,KINDER,exclusive,Import,0,0.442,0.015,0.315,0.023
181,KINDER,exclusive,Import,1,0.407,0.015,0.325,0.029
182,KINDER,exclusive,EE,0,0.301,0.014,0.248,0.023
183,KINDER,exclusive,EE,1,0.266,0.014,0.258,0.029
184,KINDER,exclusive,Domestic,0,0.262,0.013,0.226,0.023
185,KINDER,exclusive,Domestic,1,0.227,0.013,0.236,0.029
186,KINDER,other,Import,0,0.373,0.016,0.299,0.023
187,KINDER,other,Import,1,0.337,0.016,0.31,0.029
188,KINDER,other,EE,0,0.231,0.015,0.232,0.023
189,KINDER,other,EE,1,0.196,0.014,0.243,0.029
190,KINDER,other,Domestic,0,0.192,0.014,0.21,0.023
191,KINDER,other,Domestic,1,0.157,0.014,0.221,0.029
192,KINDER,thirdParty,Import,0,0.362,0.016,0.285,0.023
193,KINDER,thirdParty,Import,1,0.327,0.015,0.295,0.029
194,KINDER,thirdParty,EE,0,0.221,0.014,0.218,0.023
195,KINDER,thirdParty,EE,1,0.185,0.014,0.228,0.029
196,KINDER,thirdParty,Domestic,0,0.182,0.014,0.196,0.023
197,KINDER,thirdParty,Domestic,1,0.146,0.014,0.206,0.029
198,KINDER,ownDeveloped,Import,0,0.434,0.016,0.315,0.023
199,KINDER,ownDeveloped,Import,1,0.399,0.016,0.326,0.029
200,KINDER,ownDeveloped,EE,0,0.293,0.015,0.248,0.023
201,KINDER,ownDeveloped,EE,1,0.257,0.015,0.259,0.029
202,KINDER,ownDeveloped,Domestic,0,0.254,0.014,0.226,0.023
203,KINDER,ownDeveloped,Domestic,1,0.219,0.014,0.237,0.029
204,KINDER,whiteLabel,Import,0,0.374,0.016,0.291,0.023
205,KINDER,whiteLabel,Import,1,0.339,0.015,0.301,0.029
206,KINDER,whiteLabel,EE,0,0.232,0.014,0.224,0.023
207,KINDER,whiteLabel,EE,1,0.197,0.014,0.234,0.029
208,KINDER,whiteLabel,Domestic,0,0.194,0.014,0.202,0.023
209,KINDER,whiteLabel,Domestic,1,0.158,0.014,0.212,0.029
210,FLURMÖBEL,exclusive,Import,0,0.573,0.014,0.422,0.021
211,FLURMÖBEL,exclusive,Import,1,0.538,0.014,0.461,0.025
212,FLURMÖBEL,exclusive,EE,0,0.432,0.013,0.355,0.021
213,FLURMÖBEL,exclusive,EE,1,0.396,0.012,0.394,0.025
214,FLURMÖBEL,exclusive,Domestic,0,0.393,0.012,0.333,0.021
215,FLURMÖBEL,exclusive,Domestic,1,0.358,0.012,0.372,0.025
216,FLURMÖBEL,other,Import,0,0.504,0.015,0.407,0.021
217,FLURMÖBEL,other,Import,1,0.468,0.015,0.445,0.025
218,FLURMÖBEL,other,EE,0,0.362,0.014,0.34,0.021
219,FLURMÖBEL,other,EE,1,0.327,0.013,0.379,0.025
220,FLURMÖBEL,other,Domestic,0,0.323,0.013,0.318,0.021
221,FLURMÖBEL,other,Domestic,1,0.288,0.013,0.357,0.025
222,FLURMÖBEL,thirdParty,Import,0,0.493,0.015,0.392,0.021
223,FLURMÖBEL,thirdParty,Import,1,0.458,0.015,0.431,0.025
224,FLURMÖBEL,thirdParty,EE,0,0.351,0.013,0.325,0.021
225,FLURMÖBEL,thirdParty,EE,1,0.316,0.013,0.364,0.025
226,FLURMÖBEL,thirdParty,Domestic,0,0.313,0.013,0.303,0.021
227,FLURMÖBEL,thirdParty,Domestic,1,0.277,0.012,0.342,0.025
228,FLURMÖBEL,ownDeveloped,Import,0,0.565,0.015,0.422,0.021
229,FLURMÖBEL,ownDeveloped,Import,1,0.53,0.015,0.461,0.025
230,FLURMÖBEL,ownDeveloped,EE,0,0.423,0.014,0.356,0.021
231,FLURMÖBEL,ownDeveloped,EE,1,0.388,0.014,0.394,0.025
232,FLURMÖBEL,ownDeveloped,Domestic,0,0.385,0.013,0.333,0.021
233,FLURMÖBEL,ownDeveloped,Domestic,1,0.349,0.013,0.372,0.025
234,FLURMÖBEL,whiteLabel,Import,0,0.505,0.015,0.398,0.021
235,FLURMÖBEL,whiteLabel,Import,1,0.469,0.014,0.437,0.025
236,FLURMÖBEL,whiteLabel,EE,0,0.363,0.013,0.331,0.021
237,FLURMÖBEL,whiteLabel,EE,1,0.328,0.013,0.37,0.025
238,FLURMÖBEL,whiteLabel,Domestic,0,0.324,0.013,0.309,0.021
239,FLURMÖBEL,whiteLabel,Domestic,1,0.289,0.012,0.348,0.025
240,SCHLAFZIMMERMÖBEL,exclusive,Import,0,0.504,0.014,0.356,0.021
241,SCHLAFZIMMERMÖBEL,exclusive,Import,1,0.469,0.014,0.394,0.026
242,SCHLAFZIMMERMÖBEL,exclusive,EE,0,0.363,0.013,0.289,0.021
243,SCHLAFZIMMERMÖBEL,exclusive,EE,1,0.327,0.012,0.327,0.026
244,SCHLAFZIMMERMÖBEL,exclusive,Domestic,0,0.324,0.012,0.267,0.021
245,SCHLAFZIMMERMÖBEL,exclusive,Domestic,1,0.289,0.012,0.305,0.025
246,SCHLAFZIMMERMÖBEL,other,Import,0,0.434,0.015,0.341,0.021
247,SCHLAFZIMMERMÖBEL,other,Import,1,0.399,0.015,0.378,0.026
248,SCHLAFZIMMERMÖBEL,other,EE,0,0.293,0.014,0.274,0.021
249,SCHLAFZIMMERMÖBEL,other,EE,1,0.258,0.013,0.311,0.026
250,SCHLAFZIMMERMÖBEL,other,Domestic,0,0.254,0.013,0.252,0.021
251,SCHLAFZIMMERMÖBEL,other,Domestic,1,0.219,0.013,0.289,0.026
252,SCHLAFZIMMERMÖBEL,thirdParty,Import,0,0.424,0.015,0.326,0.021
253,SCHLAFZIMMERMÖBEL,thirdParty,Import,1,0.388,0.014,0.364,0.026
254,SCHLAFZIMMERMÖBEL,thirdParty,EE,0,0.282,0.013,0.259,0.021
255,SCHLAFZIMMERMÖBEL,thirdParty,EE,1,0.247,0.013,0.297,0.026
256,SCHLAFZIMMERMÖBEL,thirdParty,Domestic,0,0.243,0.013,0.237,0.021
257,SCHLAFZIMMERMÖBEL,thirdParty,Domestic,1,0.208,0.012,0.275,0.026
258,SCHLAFZIMMERMÖBEL,ownDeveloped,Import,0,0.496,0.015,0.356,0.021
259,SCHLAFZIMMERMÖBEL,ownDeveloped,Import,1,0.461,0.015,0.394,0.026
260,SCHLAFZIMMERMÖBEL,ownDeveloped,EE,0,0.354,0.014,0.289,0.021
261,SCHLAFZIMMERMÖBEL,ownDeveloped,EE,1,0.319,0.013,0.327,0.026
262,SCHLAFZIMMERMÖBEL,ownDeveloped,Domestic,0,0.316,0.013,0.267,0.021
263,SCHLAFZIMMERMÖBEL,ownDeveloped,Domestic,1,0.28,0.013,0.305,0.026
264,SCHLAFZIMMERMÖBEL,whiteLabel,Import,0,0.436,0.015,0.332,0.021
265,SCHLAFZIMMERMÖBEL,whiteLabel,Import,1,0.4,0.014,0.37,0.026
266,SCHLAFZIMMERMÖBEL,whiteLabel,EE,0,0.294,0.013,0.265,0.021
267,SCHLAFZIMMERMÖBEL,whiteLabel,EE,1,0.259,0.013,0.303,0.026
268,SCHLAFZIMMERMÖBEL,whiteLabel,Domestic,0,0.255,0.013,0.243,0.021
