,item_code,avg_conv_rate,last_price,last_date,avg_unique_views,PE,PE_err,has_enough_stat,pc2,item_skey
280,000000001000118200,0.004505174060497653,449.99,2020-11-26,24.996929818239472,-0.0114,0.0046,False,194.210,2359335888380
281,000000001000119233,0.001020367991845056,679.99,2021-02-19,98.1,0.0025,0.0045,False,310.769,2891075458435
282,000000001000121183,0.013889888888888887,82.99,2021-02-11,99.0,-0.0228,0.0046,True,45.850,202373258973648
283,000000001000126038,0.005652840098457733,499.99,2021-02-25,44.67648759509224,-0.0114,0.004,False,229.380,272450604914555
284,000000001000127977,0.0025422960609911057,319.99,2021-02-13,98.375,-0.001,0.0047,False,122.610,83518560254144
285,000000001000129416,0.01619533198380567,189.99,2021-02-25,27.444444444444443,-0.0429,0.0034,True,134.460,7061948800396
286,000000001000166546,0.005843420126128438,999.99,2020-11-17,21.756666666666668,-0.0086,0.0027,True,525.649,181153060929532
287,000000001000168996,0.009030345372460495,779.99,2021-02-17,29.533333333333335,-0.013,0.0032,True,344.100,165142119851055
288,000000001000169309,0.013030315960912052,154.99,2021-01-31,47.23076923076923,-0.0657,0.0259,False,88.909,265839329990173
289,000000001000179078,0.005012855443715563,399.99,2021-02-11,268.6957070707071,-0.0016,0.0039,False,261.370,22714784894013
290,000000001000193743,0.0015819955712135124,799.99,2021-02-22,54.35531135531136,-0.0012,0.001,False,371.360,204619229137485
291,000000001000210847,0.007487194291047678,819.99,2021-02-07,29.590503246753247,-0.0055,0.0043,False,573.460,187860378754353
292,000000001000007432,0.021610538002980628,89.99,2021-01-22,559.1666666666666,-0.0459,0.0064,True,43.030,125060840586745
293,000000001000009286,0.002451789481024662,1349.99,2021-02-25,28.26233517440414,-0.0089,0.0046,False,465.550,188088286739531
294,000000001000015990,0.014057204082274037,129.99,2021-02-06,94.83970514742629,-0.037,0.0045,True,48.939,94343378859485
295,000000001000022411,0.006653526031623602,83.99,2021-02-25,211.6734693877551,-0.0222,0.0043,True,40.030,112186534043649
296,000000001000024310,0.049290750119369724,99.99,2020-12-26,43.78151260504202,-0.0377,0.0126,False,55.469,82894169698233
297,000000001000097073,0.0047841141375217135,579.99,2021-01-23,78.68499469007898,-0.0146,0.0035,True,336.889,125281126372643
298,000000001000119757,0.00384897823261073,529.99,2021-02-25,289.8604651162791,-0.0114,0.0029,True,328.430,260759150426570
299,000000001000123338,0.005254867532859018,899.99,2021-02-25,44.64413245484673,-0.0182,0.0125,False,511.839,249409430193373
300,000000001000123763,0.004815004376367615,214.99,2021-02-25,105.46153846153847,-0.0195,0.0064,True,43.430,228313132843940
301,000000001000126857,0.0029403564356435645,429.99,2020-06-07,323.2,-0.0007,0.003,False,321.810,233012270160715
302,000000001000136936,0.023744016759776537,94.99,2021-02-25,94.21052631578948,-0.0373,0.0084,True,55.670,35055339711515
303,000000001000179080,0.003808106598984772,819.99,2021-02-25,87.55555555555556,-0.0058,0.0038,False,538.490,96354687983834
304,000000001000188832,0.013089931270749453,104.99,2021-02-23,85.375,-0.0274,0.0038,True,68.519,13072220999894
305,000000001000207488,0.010063893081761005,529.99,2021-02-25,104.60526315789474,-0.0349,0.0096,True,62.750,7693341085159
306,000000001000216166,0.002629120893561104,349.99,2021-02-07,77.01923076923077,-0.0042,0.0219,False,171.490,203507362726720
307,000000001000005795,0.008881498104735054,69.99,2020-12-22,137.4563492063492,0.0043,0.0099,False,29.390,72317381267478
308,000000001000012675,0.013449265404381341,149.99,2021-02-25,54.862263749623764,-0.0144,0.0076,False,67.579,217682667837055
309,000000001000016002,0.007885719956498097,124.99,2021-02-19,104.95634920634922,-0.0355,0.0049,True,57.820,38000748078213
310,000000001000030842,0.005591312568871084,249.99,2021-02-25,74.01406562675744,-0.0046,0.0051,False,144.150,275282606527056
311,000000001000031056,0.003945806610669977,359.99,2021-01-27,167.4549731077004,0.0029,0.0043,False,235.940,276387589828841
312,000000001000050893,0.010874296661577854,569.99,2021-02-25,43.272727272727266,-0.0092,0.0037,False,247.840,56201441535062
313,000000001000073170,0.0018789590549023035,469.99,2021-02-25,1874.1071428571427,-0.0063,0.0041,False,261.050,87698455416731
314,000000001000080244,0.002676801225251652,499.99,2021-02-22,76.40198412698413,-0.0031,0.0042,False,286.779,31219950697193
315,000000001000119213,0.0033405176252319113,234.99,2021-02-25,77.0,-0.008,0.0019,True,127.290,220427820739992
316,000000001000123326,0.0023794114693205604,679.99,2021-02-25,84.13095238095238,-0.0032,0.0036,False,413.490,46498735800338
317,000000001000123835,0.011497861879122556,269.99,2021-02-13,103.81293142043141,0.0012,0.0009,False,107.620,222461533822368
318,000000001000126044,0.010656256758285262,579.99,2021-01-07,39.85714285714286,-0.02,0.0098,False,326.170,132458983678747
319,000000001000143697,0.004944913476920759,899.99,2021-02-14,27.972619047619048,-0.0044,0.005,False,549.320,203290327934178
320,000000001000145001,0.005260418645259256,319.99,2021-01-21,82.99094937017868,-0.0195,0.0047,True,188.440,1734744912290
321,000000001000151262,0.00853527361928241,529.99,2021-02-03,48.33482142857143,-0.0209,0.005,True,317.540,7030688929148
322,000000001000153565,0.010875201687295822,159.99,2021-02-20,85.81224489795919,0.0042,0.0087,False,46.930,87254336263050
323,000000001000183807,0.027808832650651434,53.99,2021-02-17,70.9301282051282,-0.0243,0.0087,False,26.780,248009943491535
324,000000001000183862,0.008167767709005964,499.99,2020-12-31,50.15068458417849,-0.0161,0.0033,True,201.009,205143412930651
325,000000001000184202,0.007637343337737007,319.99,2021-02-07,110.84920634920636,-0.0114,0.0054,False,153.960,278159979410953
326,000000001000187580,0.012179079309046825,99.99,2021-01-23,86.94318181818181,-0.0177,0.0073,False,38.390,218069087495573
327,000000001000200152,0.005315516497197749,129.99,2020-12-15,33.9048313940961,-0.0242,0.0101,False,69.760,217271967500538
328,000000001000201172,0.02253624878191701,199.99,2021-02-25,26.81858974358974,-0.0212,0.0132,False,121.069,162756843488764
329,000000001000006082,0.015971515970515972,104.99,2021-02-25,62.61538461538461,-0.0414,0.0095,True,46.780,187990528223809
330,000000001000007999,0.004103595227816942,1099.99,2021-02-25,53.071096746390864,-0.0135,0.0031,True,92.670,279867893606798
331,000000001000012484,0.0022608415083881887,499.99,2021-01-30,239.80809022582085,-0.0154,0.0019,True,289.870,34405827809034
332,000000001000012561,0.012610141283265161,269.99,2021-02-17,178.52855222734257,-0.0112,0.0041,False,144.319,69176282043018
333,000000001000012777,0.0037241146270445826,269.99,2021-02-25,260.73269394714407,-0.0073,0.004,False,145.539,107242999527368
334,000000001000016048,0.0077679608121590275,269.99,2021-02-12,220.73530182554572,-0.0146,0.0025,True,142.530,21189088502515
335,000000001000016142,0.010593783628736806,269.99,2021-02-25,116.15737514518003,-0.022,0.0051,True,109.560,2875774016995
336,000000001000025087,0.016447777859821336,419.99,2021-02-25,37.120535714285715,-0.0343,0.0097,True,235.509,232973103503653
337,000000001000027311,0.006800605979268974,499.99,2021-02-10,49.311694288826644,-0.0035,0.0044,False,292.790,428471031281
338,000000001000027430,0.004217203178145266,649.99,2021-02-06,83.48389021041659,-0.0133,0.0033,True,335.180,157121327029411
339,000000001000050918,0.016148144799087244,419.99,2021-02-14,25.506512006512008,-0.0079,0.0057,False,221.060,132239443530229
340,000000001000063745,0.0038927843376822847,629.99,2021-02-19,141.28571428571428,-0.0156,0.0029,True,250.099,272261608552382
