,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000021852,-0.0161,0.0052,-0.0021,0.0004,19,True
000000001000086550,-0.015,0.0035,-0.0011,0.0005,13,True
000000001000086536,-0.0108,0.0019,-0.0019,0.0003,19,True
000000001000012776,-0.0115,0.0031,-0.0001,0.0002,18,True
000000001000097074,-0.0156,0.0045,-0.0019,0.0011,8,True
000000001000012765,-0.0157,0.004,-0.0002,0.0001,16,True
000000001000050876,-0.0144,0.0036,-0.0024,0.0007,16,True
000000001000054855,-0.0122,0.0038,-0.0006,0.0003,16,True
000000001000118222,-0.0106,0.0034,0.0,0.0001,21,True
000000001000007573,-0.0147,0.0043,-0.0019,0.0006,14,True
000000001000016123,-0.0064,0.002,-0.0009,0.0004,14,True
000000001000032244,-0.0123,0.0035,-0.0012,0.0004,7,True
000000001000113300,-0.0133,0.004,-0.0007,0.0003,17,True
000000001000052621,-0.0096,0.0025,-0.0006,0.0002,16,True
000000001000016193,-0.014,0.003,-0.0008,0.0007,17,True
000000001000008188,-0.0158,0.0038,-0.0037,0.0005,13,True
000000001000012792,-0.0134,0.0033,0.0002,0.0001,14,True
000000001000176733,-0.0164,0.0042,-0.0,0.0005,14,True
000000001000012747,-0.0142,0.0029,0.0002,0.0001,18,True
000000001000022033,-0.0108,0.0032,-0.0024,0.0006,20,True
000000001000039140,-0.0073,0.0017,0.0001,0.0001,19,True
000000001000006451,-0.0102,0.0034,-0.0003,0.0003,14,True
000000001000071070,-0.0118,0.0027,-0.001,0.0003,14,True
000000001000092125,-0.014,0.0029,-0.0005,0.0003,18,True
000000001000006375,-0.0146,0.0031,-0.0001,0.0003,13,True
000000001000008983,-0.0097,0.0031,0.0001,0.0003,12,True
000000001000022233,-0.0105,0.0034,0.0004,0.0001,14,True
000000001000035477,-0.011,0.0033,-0.0023,0.0005,18,True
000000001000191242,-0.007,0.0019,-0.0012,0.0003,16,True
000000001000178567,-0.0129,0.0025,0.0001,0.0002,8,True
000000001000008852,-0.0158,0.0046,-0.0,0.0002,20,True
000000001000022038,-0.009,0.002,-0.0015,0.0003,14,True
000000001000027390,-0.0134,0.0026,-0.0007,0.0003,18,True
000000001000119267,-0.0121,0.0039,-0.0,0.0003,10,True
000000001000152075,-0.0116,0.0034,0.0006,0.0017,4,True
000000001000104024,-0.0132,0.0031,-0.0008,0.0003,16,True
000000001000139406,-0.0169,0.0028,-0.0002,0.0003,17,True
000000001000007592,-0.0133,0.0024,-0.0002,0.0002,19,True
000000001000119666,-0.0153,0.0034,-0.0009,0.0003,13,True
000000001000007405,-0.0146,0.004,-0.0015,0.0005,19,True
000000001000008546,-0.0123,0.004,-0.0,0.0002,19,True
000000001000086540,-0.0099,0.0026,-0.0013,0.0003,17,True
000000001000118123,-0.0158,0.0052,0.0001,0.0002,14,True
000000001000126218,-0.0147,0.0027,-0.0011,0.0002,20,True
000000001000139473,-0.0159,0.0027,-0.0016,0.0007,10,True
000000001000172943,-0.0114,0.003,0.0003,0.0001,11,True
000000001000178066,-0.0152,0.0031,0.0002,0.0001,19,True
000000001000016038,-0.0123,0.0026,-0.0008,0.0002,16,True
000000001000086499,-0.0113,0.0024,-0.001,0.0002,19,True
000000001000174652,-0.015,0.0039,-0.0011,0.0004,17,True
000000001000007722,-0.0169,0.0043,0.0002,0.0002,16,True
000000001000104080,-0.0117,0.0019,0.0,0.0001,19,True
000000001000008866,-0.0132,0.0032,0.0,0.0002,18,True
000000001000104011,-0.0113,0.003,-0.0002,0.0002,17,True
000000001000110460,-0.0133,0.0043,0.0003,0.0001,17,True
000000001000008035,-0.0141,0.0035,-0.0023,0.0005,18,True
000000001000012577,-0.0087,0.0027,0.0005,0.0001,18,True
000000001000021903,-0.0139,0.0044,0.0003,0.0004,16,True
000000001000080427,-0.0154,0.0049,-0.0033,0.0006,18,True
000000001000006757,-0.0122,0.0022,-0.0009,0.0005,18,True
000000001000050773,-0.0142,0.0033,-0.0005,0.0002,18,True
000000001000008000,-0.0167,0.0035,-0.0001,0.001,15,True
000000001000071059,-0.0086,0.0026,-0.002,0.0006,15,True
000000001000014946,-0.0123,0.0033,-0.0007,0.0007,14,True
000000001000033640,-0.0098,0.0022,-0.0006,0.0002,14,True
000000001000054939,-0.0126,0.003,0.0002,0.0001,13,True
000000001000123648,-0.0149,0.0034,-0.0006,0.0005,16,True
000000001000127878,-0.0144,0.0027,-0.002,0.0003,16,True
000000001000123469,-0.0131,0.0033,-0.0002,0.0004,14,True
000000001000164014,-0.0148,0.0042,-0.0001,0.0003,19,True
000000001000179044,-0.0144,0.0032,-0.0026,0.0004,18,True
000000001000027431,-0.0139,0.0037,-0.0027,0.0004,18,True
000000001000123490,-0.0068,0.002,0.0001,0.0001,13,True
000000001000124221,-0.0129,0.0042,-0.0007,0.0003,21,True
000000001000039565,-0.0134,0.0036,0.0003,0.0003,15,True
000000001000054035,-0.016,0.0024,-0.0003,0.0002,19,True
000000001000057523,-0.0163,0.0023,-0.0018,0.0003,17,True
000000001000076755,-0.0154,0.0038,-0.0023,0.0005,16,True
000000001000080476,0.5497,0.1561,-0.0469,0.0146,1,True
000000001000184269,-0.0138,0.0044,-0.0002,0.0003,18,True
000000001000080490,-0.0143,0.0046,-0.0017,0.0004,15,True
000000001000110753,-0.013,0.0037,-0.0008,0.0007,10,True
000000001000008031,-0.0089,0.0029,-0.0014,0.0005,18,True
000000001000050867,-0.014,0.0037,-0.0002,0.0002,20,True
000000001000080365,-0.0134,0.0043,-0.0022,0.0005,17,True
000000001000118127,-0.0097,0.0027,-0.0011,0.0005,18,True
000000001000064478,-0.0137,0.0041,-0.0002,0.0003,16,True
000000001000178562,-0.0141,0.003,0.0001,0.0003,5,True
000000001000086544,-0.0125,0.0021,-0.0015,0.0003,20,True
000000001000021943,-0.0115,0.0033,-0.0032,0.0004,18,True
000000001000050864,-0.0127,0.0031,-0.0011,0.0006,15,True
000000001000123644,-0.0153,0.0042,-0.001,0.0005,16,True
000000001000127486,-0.015,0.0024,-0.0005,0.0002,18,True
