,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000022392,-0.0327,0.0033,-0.002,0.001,18,True
000000001000129336,-0.0387,0.006,-0.0005,0.0007,14,True
000000001000179465,-0.0349,0.0076,-0.0021,0.0008,17,True
000000001000183810,-0.0388,0.0077,-0.0004,0.0004,16,True
000000001000005734,-0.0299,0.0043,-0.0013,0.0005,18,True
000000001000091263,-0.1277,0.0248,-0.006,0.0028,5,True
000000001000112303,-0.0637,0.0115,-0.003,0.005,16,True
000000001000027335,-0.0404,0.0082,-0.0021,0.0009,14,True
000000001000012743,-0.0423,0.0087,0.0008,0.0008,18,True
000000001000104380,-0.1374,0.0312,-0.0055,0.0024,12,True
000000001000176712,-0.039,0.0061,0.0004,0.0004,18,True
000000001000042930,-0.0565,0.0174,0.0009,0.0008,15,True
000000001000024946,-0.0755,0.0235,-0.005,0.0099,5,True
000000001000123856,-0.0363,0.008,-0.0004,0.0009,16,True
000000001000167293,-0.0332,0.0062,0.0003,0.0007,13,True
000000001000178560,-0.0312,0.006,-0.0019,0.0007,19,True
000000001000008518,-0.037,0.0035,-0.0041,0.0009,19,True
000000001000015943,-0.0461,0.0088,-0.0086,0.0022,13,True
000000001000136189,-0.0382,0.0103,-0.0078,0.0052,8,True
000000001000160241,-0.0491,0.012,0.0,0.0023,10,True
000000001000163036,-0.0419,0.0047,0.0017,0.0006,8,True
000000001000112678,-0.0364,0.0045,-0.0007,0.0005,19,True
000000001000117727,-0.0347,0.0056,-0.0047,0.0029,18,True
000000001000126877,-0.0341,0.0084,-0.0003,0.0002,16,True
000000001000008736,-0.0333,0.0064,-0.0003,0.0003,16,True
000000001000113635,-0.0529,0.0133,-0.0066,0.0062,9,True
000000001000171102,-0.0488,0.0128,-0.0013,0.0011,12,True
000000001000012550,-0.0677,0.0151,-0.0046,0.0022,14,True
000000001000012729,-0.0326,0.0078,-0.0012,0.0008,17,True
000000001000016101,-0.039,0.0045,-0.0018,0.0006,19,True
000000001000136206,-0.1082,0.0141,0.0017,0.005,11,True
000000001000176706,-0.0285,0.0063,-0.0007,0.0006,17,True
000000001000016129,-0.0366,0.0045,-0.0024,0.0005,20,True
000000001000008536,-0.0335,0.0036,-0.0042,0.0008,20,True
000000001000016036,-0.0355,0.0058,-0.0005,0.0005,19,True
000000001000022604,-0.0719,0.0149,-0.0158,0.0041,11,True
000000001000024313,-0.057,0.0131,-0.001,0.0015,12,True
000000001000008068,-0.0302,0.0042,-0.0037,0.0008,15,True
000000001000152739,-0.034,0.0041,0.0003,0.0002,17,True
000000001000173700,-0.0428,0.007,-0.0004,0.0005,11,True
000000001000039624,-0.0323,0.0034,-0.0043,0.0007,20,True
000000001000114123,-0.0432,0.0042,-0.0002,0.0003,17,True
000000001000024327,-0.0725,0.0169,-0.0055,0.0033,6,True
000000001000122579,-0.0315,0.0045,-0.0003,0.0004,15,True
000000001000153557,-0.0396,0.0055,0.0009,0.0009,15,True
000000001000008140,-0.0547,0.0111,-0.0011,0.0016,14,True
000000001000133137,-0.0414,0.0067,-0.0034,0.0018,13,True
000000001000006102,-0.0501,0.0098,-0.0055,0.0017,12,True
000000001000016130,-0.0327,0.0049,-0.0011,0.0005,20,True
000000001000008754,-0.0327,0.0048,-0.0003,0.0004,20,True
000000001000176713,-0.0419,0.0065,0.0002,0.0005,16,True
000000001000133273,-0.0542,0.0083,0.0042,0.0012,13,True
000000001000092322,-0.0389,0.0078,-0.0012,0.001,18,True
000000001000112304,-0.068,0.0148,-0.005,0.0062,14,True
000000001000175682,-0.0808,0.0138,-0.0182,0.0041,11,True
000000001000123331,-0.0463,0.0076,0.0007,0.0004,17,True
000000001000133277,-0.0343,0.0057,0.0,0.0003,11,True
000000001000176719,-0.0407,0.0052,-0.0022,0.0008,19,True
000000001000006087,-0.046,0.0057,-0.0033,0.0009,17,True
000000001000016013,-0.0479,0.0051,-0.0005,0.0005,21,True
000000001000006083,-0.0392,0.0102,-0.0027,0.0008,15,True
000000001000117377,-0.0488,0.0078,-0.0094,0.0018,17,True
000000001000133283,-0.0705,0.0111,0.0031,0.0041,16,True
000000001000064483,-0.0555,0.015,-0.0051,0.002,8,True
000000001000007448,-0.0517,0.0056,-0.0047,0.0008,18,True
000000001000007798,-0.0472,0.0103,-0.0057,0.0027,16,True
000000001000015909,-0.0883,0.0256,-0.0004,0.0042,10,True
000000001000110002,-0.0349,0.0084,-0.004,0.0032,18,True
000000001000183808,-0.0473,0.0137,-0.0004,0.0026,14,True
000000001000091264,-0.0505,0.0086,-0.0008,0.0011,12,True
000000001000179472,-0.0486,0.0074,-0.0004,0.0006,17,True
000000001000184193,-0.0524,0.0101,0.0004,0.0005,15,True
000000001000007688,-0.0329,0.0045,0.0,0.0003,15,True
000000001000153364,-0.0339,0.0041,0.0002,0.0002,18,True
000000001000161916,-0.0371,0.0094,-0.0002,0.0006,18,True
000000001000024887,-0.0498,0.0088,-0.0011,0.0011,11,True
000000001000027400,-0.0446,0.0117,-0.0022,0.0019,17,True
000000001000110116,-0.0304,0.0047,0.0009,0.0017,13,True
000000001000006090,-0.0387,0.0056,-0.0013,0.0007,17,True
000000001000110374,-0.0352,0.0071,0.0004,0.0004,13,True
000000001000009867,-0.0299,0.0098,-0.0009,0.0005,9,True
000000001000024891,-0.1029,0.0204,-0.0057,0.0033,8,True
000000001000007546,-0.0428,0.0121,-0.0051,0.003,13,True
000000001000097480,-0.029,0.0043,-0.0023,0.001,7,True
000000001000002479,-0.0378,0.0059,0.0014,0.0028,13,True
000000001000096476,-0.0663,0.0148,-0.0078,0.0018,11,True
000000001000133180,-0.0314,0.0068,-0.0015,0.0007,13,True
000000001000155191,-0.0347,0.0043,0.0001,0.0002,11,True
000000001000016025,-0.0326,0.0073,0.0003,0.0005,20,True
000000001000176707,-0.0303,0.0054,-0.0009,0.0006,16,True
000000001000008007,-0.0317,0.0038,-0.003,0.0008,15,True
