,PE,PE_err,log_del_week,log_del_week_err,Cluster_size,has_enough_stat
000000001000138431,-0.0256,0.0068,-0.001,0.0008,18,True
000000001000173677,-0.0189,0.0045,-0.0,0.0008,10,True
000000001000008513,-0.0277,0.003,-0.0035,0.0007,21,True
000000001000081136,-0.0175,0.0053,-0.0013,0.0006,11,True
000000001000021921,-0.0183,0.0028,-0.0012,0.0004,20,True
000000001000057600,-0.0226,0.0036,-0.0012,0.0003,18,True
000000001000104042,-0.0194,0.0047,0.0002,0.0005,13,True
000000001000123522,-0.0217,0.0058,-0.0025,0.0011,16,True
000000001000117164,-0.0276,0.0045,-0.0004,0.0003,18,True
000000001000035466,-0.0256,0.0047,-0.0009,0.0003,10,True
000000001000008063,-0.0198,0.0033,-0.0004,0.0004,12,True
000000001000012501,-0.0175,0.0043,0.0001,0.0002,12,True
000000001000135785,-0.0244,0.0039,-0.001,0.0003,13,True
000000001000039134,-0.0242,0.004,-0.0009,0.0009,19,True
000000001000008509,-0.0239,0.0027,-0.0026,0.0005,19,True
000000001000094984,-0.0255,0.0045,-0.0025,0.0011,14,True
000000001000123273,-0.0192,0.0031,-0.001,0.0005,18,True
000000001000178558,-0.0188,0.0029,-0.0005,0.0003,5,True
000000001000052299,-0.0231,0.0054,-0.0019,0.0018,13,True
000000001000064692,-0.0227,0.0032,-0.0008,0.0002,17,True
000000001000119223,-0.0195,0.0042,0.0005,0.0001,18,True
000000001000123495,-0.0276,0.0073,-0.0002,0.0008,16,True
000000001000179463,-0.0189,0.0056,-0.0049,0.0009,12,True
000000001000039495,-0.0233,0.0034,-0.0003,0.0003,16,True
000000001000092018,-0.0232,0.0073,-0.003,0.0015,16,True
000000001000007704,-0.0272,0.004,0.0002,0.0002,15,True
000000001000091709,-0.0236,0.0078,-0.0011,0.0016,13,True
000000001000164647,-0.0183,0.006,-0.0011,0.0003,17,True
000000001000118154,-0.0255,0.0078,0.0,0.0005,20,True
000000001000110399,-0.0266,0.0055,0.003,0.0043,15,True
000000001000008056,-0.0244,0.0026,-0.0015,0.0005,21,True
000000001000118870,-0.0256,0.0043,0.0003,0.0004,10,True
000000001000104123,-0.0209,0.0031,-0.0002,0.0002,12,True
000000001000176735,-0.02,0.0036,-0.0006,0.0004,16,True
000000001000152725,-0.0171,0.0045,-0.0001,0.0003,15,True
000000001000027406,-0.0207,0.0055,-0.0007,0.0003,12,True
000000001000064512,-0.0196,0.0023,-0.0,0.0002,15,True
000000001000109992,-0.0228,0.0071,0.0023,0.0009,15,True
000000001000071699,-0.0191,0.0041,-0.001,0.0006,11,True
000000001000116763,-0.0224,0.0049,-0.0004,0.0004,19,True
000000001000008070,-0.0237,0.004,-0.0005,0.0003,15,True
000000001000016102,-0.0188,0.0057,-0.0024,0.0009,20,True
000000001000183039,-0.0191,0.0037,-0.0006,0.0004,13,True
000000001000113301,-0.0239,0.0039,-0.0025,0.0008,13,True
000000001000126703,-0.0195,0.0028,-0.0034,0.0005,19,True
000000001000183750,-0.0198,0.0055,-0.0008,0.0035,13,True
000000001000006085,-0.0231,0.0048,-0.0006,0.0003,18,True
000000001000012821,-0.0183,0.0038,-0.0004,0.0003,14,True
000000001000060996,-0.0193,0.0031,-0.0022,0.0007,14,True
000000001000064349,-0.0201,0.0054,-0.0002,0.0003,18,True
000000001000050847,-0.0249,0.0036,-0.0001,0.0002,18,True
000000001000008170,-0.0214,0.0041,-0.0014,0.0004,14,True
000000001000037771,-0.0217,0.0046,-0.0019,0.0013,15,True
000000001000039129,-0.0278,0.0062,0.0001,0.0005,15,True
000000001000116645,-0.0196,0.0025,-0.0014,0.0004,17,True
000000001000127963,-0.0171,0.0041,-0.0011,0.0004,10,True
000000001000054573,-0.0198,0.0018,0.0001,0.0003,8,True
000000001000117167,-0.0233,0.004,-0.0005,0.0002,18,True
000000001000012539,-0.0211,0.0064,-0.0014,0.0019,15,True
000000001000016144,-0.0191,0.0059,-0.0012,0.0009,16,True
000000001000021927,-0.0273,0.0028,-0.0036,0.0007,17,True
000000001000046373,-0.0279,0.0055,-0.0011,0.0012,15,True
000000001000118957,-0.0173,0.0034,-0.0001,0.0008,16,True
000000001000048012,-0.0176,0.0031,-0.0005,0.0002,19,True
000000001000050873,-0.0257,0.0042,-0.0003,0.0003,19,True
000000001000079665,-0.0232,0.0057,-0.004,0.0007,17,True
000000001000109910,-0.0277,0.0025,-0.0002,0.0003,21,True
000000001000123452,-0.019,0.0059,-0.0021,0.0008,14,True
000000001000008015,-0.0199,0.0044,-0.0001,0.0006,13,True
000000001000153533,-0.0284,0.0054,-0.0047,0.0025,16,True
000000001000008699,-0.0266,0.0041,-0.0006,0.0004,16,True
000000001000027351,-0.0172,0.0037,-0.0006,0.0003,17,True
000000001000161914,-0.0182,0.0048,-0.0011,0.0006,14,True
000000001000164005,-0.0193,0.0042,-0.0003,0.0004,20,True
000000001000005177,-0.017,0.0042,0.0004,0.0002,15,True
000000001000037772,-0.021,0.0044,-0.0008,0.0013,14,True
000000001000015964,-0.0276,0.005,-0.0007,0.0006,17,True
000000001000123451,-0.0273,0.005,-0.003,0.001,16,True
000000001000048010,-0.0209,0.0033,-0.0008,0.0003,17,True
