,item_code,avg_conv_rate,last_price,last_date,avg_unique_views,Sales_PE,Sales_PE_err,del_week,del_week_err,intercept,intercept_err,pc2,item_skey
156,000000001000052640,0.005401209313255128,719.99,2021-01-21,51.117357245928666,0.2633,0.0651,-0.0124,0.0466,6.8548,1.2802,463.860,14153258049679
157,000000001000053260,0.005784285161666523,184.99,2021-01-14,203.12910618792975,-5.8515,0.6823,0.243,0.1874,26.2818,3.0367,135.000,188916647794524
158,000000001000104017,0.0013802026204160706,699.99,2020-12-21,99.3985969234981,0.3698,0.0575,-0.1476,0.0693,5.8393,2.4244,428.060,244658800784307
159,000000001000153549,0.024338684895438445,74.99,2021-02-23,177.7503890445067,2.2795,0.4618,0.0648,0.5519,8.9675,3.2629,25.070,258301027523634
160,000000001000166549,0.004565251510804455,1399.99,2021-02-25,40.28402693005177,-1.4284,0.1844,-1.3466,0.1652,3.2863,2.9319,745.919,225331435918188
161,000000001000005889,0.004522420036620613,499.99,2021-02-02,50.369426310469095,-0.5302,0.1653,-0.7203,0.3109,13.5999,3.2386,230.710,131818952462740
162,000000001000008533,0.015646347171716635,169.99,2021-02-25,70.52729044834308,1.2722,0.2184,-0.74,0.2427,17.62,1.6812,84.489,122551537412102
163,000000001000015609,0.009072780289475068,149.99,2021-02-25,153.04920212765956,1.5166,0.3004,1.9848,0.2977,7.9369,1.7723,98.680,155541362292937
164,000000001000016109,0.010873848082150406,104.99,2021-02-25,157.66666666666666,-8.8817,2.5142,-12.9502,2.4728,77.8537,13.5113,50.640,207973439231826
165,000000001000056966,0.006730063417513848,499.99,2021-02-16,48.814674540300075,0.3815,0.0722,0.5347,0.1068,9.7383,1.5775,241.580,231213392135755
166,000000001000080386,0.013533763532763532,209.99,2021-02-25,140.4,0.8952,0.2087,1.5832,0.2615,13.8947,2.2862,132.710,267395921688784
167,000000001000121596,0.006056261198339619,299.99,2021-02-20,55.38327626918535,-1.4769,0.1481,-2.3177,0.2663,11.204,1.6396,190.030,116913758693904
168,000000001000125123,0.013617071428571428,99.99,2021-02-25,27.965367965367964,1.6768,0.2563,0.7531,0.2769,15.6648,1.4313,32.329,270303709288591
169,000000001000139817,0.006513103732521592,249.99,2021-02-23,35.43671277741045,1.9454,0.6077,3.39,0.792,21.6106,5.1502,125.120,280269310781504
170,000000001000174103,0.016293652935751614,79.99,2021-02-25,191.35294117647058,3.1679,0.3152,3.0647,0.5231,33.6021,3.396,51.049,231320324933583
171,000000001000180039,0.012936712881386508,56.99,2021-02-18,55.739285714285714,-5.6101,0.5331,-2.9728,0.7389,21.1373,3.6482,28.039,150133429909479
172,000000001000198230,0.007550348931365956,699.99,2020-12-23,95.20328282828282,-1.5777,0.3776,-1.3223,0.3548,18.1007,8.5389,418.779,280057384964157
173,000000001000008032,0.01314978892733564,214.99,2021-02-25,88.92307692307692,-3.2344,0.6265,-3.8071,0.8228,19.5771,3.465,85.680,208839644178623
174,000000001000081875,0.0039908192527795755,569.99,2021-02-25,49.113839285714285,1.0576,0.188,1.0921,0.4296,20.9886,9.1849,332.829,167651136906407
175,000000001000118137,0.0061104861959458846,419.99,2021-02-06,150.98482142857145,-3.7432,0.738,-0.2833,0.3697,23.1395,5.5868,203.330,105520755498770
176,000000001000128195,0.00983534160988173,929.99,2021-02-16,49.70294372294372,0.6668,0.1734,1.4613,0.2721,18.2102,4.0691,533.340,110172211258399
177,000000001000179476,0.0174742872407291,89.99,2021-02-22,185.0,1.8328,0.4343,-2.4934,0.4915,26.7138,3.9483,35.390,145092394774507
178,000000001000183774,0.017458356572750192,139.99,2021-02-25,91.81835631160402,0.9283,0.2342,0.9349,0.2743,6.7312,2.441,84.819,127879118863815
179,000000001000005213,0.012404100775193798,599.99,2020-02-06,22.24137931034483,-1.3171,0.4279,-2.2581,0.5918,22.5238,3.1813,305.709,90103188901594
180,000000001000008753,0.005272044790200718,529.99,2021-02-25,70.27450980392156,1.4438,0.2225,0.2612,0.3253,3.9513,4.5361,215.789,71644679973991
181,000000001000125893,0.003781718336483932,619.99,2021-02-25,30.51923076923077,1.3466,0.2816,-0.1958,0.4652,4.0505,5.0265,262.670,47916791909785
182,000000001000169047,0.0007327957829293934,349.99,2021-01-31,61.71957671957673,-0.1962,0.0537,-0.303,0.0819,3.3569,1.3798,227.419,184687632293505
183,000000001000212382,0.0048202771084337355,269.99,2021-02-25,59.285714285714285,-0.5279,0.1688,-0.7237,0.2607,10.1236,2.9192,111.530,16559248353017
184,000000001000227261,0.008584690987124463,189.99,2021-02-15,233.0,-1.5684,0.4793,-0.3933,0.5721,29.9847,8.2469,106.540,89215267703813
185,000000001000055017,0.009989712723665004,749.99,2021-02-23,166.05452963592845,-1.8748,0.3464,-3.2026,0.9315,35.4663,8.5425,375.440,213890514179890
186,000000001000119833,0.0005767404329244607,579.99,2021-02-21,221.63492063492063,-0.6713,0.1142,-0.1498,0.0902,10.3365,1.5178,281.380,17895292132260
187,000000001000188904,0.01818274664616538,319.99,2021-02-25,42.600641036141546,3.5669,0.9414,-0.3476,0.3198,24.4123,5.9232,122.120,67122851515807
188,000000001000015800,0.007436852954343434,154.99,2021-01-10,55.626209463051566,-0.6278,0.1898,-0.588,0.2063,10.2293,2.2623,103.400,259135203154309
189,000000001000028761,0.00399610250808967,349.99,2020-08-20,354.10504201680675,1.0919,0.3396,-2.0174,0.4456,12.2395,3.3013,200.430,19363133668809
190,000000001000033614,0.012642430774816044,159.99,2021-02-25,110.80227272727274,0.9758,0.3124,1.2736,0.5224,11.1737,3.0556,107.060,150234808602526
191,000000001000080043,0.0012617982673948202,329.99,2021-02-25,454.5584389367093,1.0994,0.1084,0.2739,0.1014,5.528,2.6354,199.000,201545469908891
192,000000001000119939,0.008050890126744028,249.99,2021-02-25,180.0576594095185,-0.8509,0.1613,-1.0996,0.24,8.6248,1.531,166.460,213462433260983
193,000000001000157008,0.019106371245038063,53.99,2021-02-19,135.1015037593985,1.4625,0.226,1.8965,0.27,17.1999,2.3261,23.940,280048824234224
194,000000001000178551,0.0055899039024967555,319.99,2021-02-25,112.03439153439153,0.8382,0.27,4.0667,0.5208,28.6675,3.7384,67.090,52488825353837
195,000000001000007385,0.0069860746268656715,214.99,2021-02-25,76.45752895752895,-1.2191,0.2499,-1.9878,0.3448,13.3825,1.5442,73.510,243711583123936
196,000000001000021923,0.017474079521336516,119.99,2021-02-02,268.98809523809524,-2.5823,0.2608,-1.1281,0.3628,19.8039,3.5317,72.250,75368200341386
197,000000001000050950,0.0041009589396814854,699.99,2021-02-18,33.46171046344959,-1.7629,0.2763,-0.986,0.1407,5.342,2.4971,228.830,178126276038368
198,000000001000054182,0.019978934938939607,159.99,2021-02-25,62.507010289634145,2.0493,0.2891,0.2323,0.2109,17.0503,2.1715,85.049,272585357974472
199,000000001000064587,0.004709751749151669,174.99,2021-02-25,44.974074074074075,2.1596,0.331,0.2024,0.1259,10.9107,1.2618,61.270,66609176393279
